CASEID,RGN,RGN_TXT,SFA_NAME,SFA_STATE,SFA_ZIP,SFA_ID,NUM_SCHOOLS,NUM_STUDENTS,Q2C1,Q2C2,Q2C3,Q2C4,Q2C5,Q2C6,Q2C7,Q5C1,Q5C2,Q5C3,Q5C4,Q5C5,Q5C6,Q26,Q7_A1C4,Q7_B1C4,Q7_C1C4,Q7_D1C4,Q7_E1C4,Q7_F1C4,Q7_G1C4,Q7_H1C4,Q7_I1C4,Q7_J1C4,Q7_K1C4,Q7_L1C4,Q7_M1C4,Q7_N1C4,Q7_O1C4,Q7_P1C4,Q7_Q1C4,Q7_R1C4,Q7_S1C4,Q7_T1C4,Q7_U1C4,Q7_V1C4,Q7_W1C4,Q7_X1C4,Q7_Y1C4,Q7_Z1C4,Q7_ZZ1C4,Q7_AA1C4,Q7_AB1C4,Q7_AC1C4,Q7_AD1C4,Q7_AE1C4,Q7_AF1C4,Q7_AG1C4,Q7_AH1C4,Q8C1,Q8C9,Q9C3,Q9_CC1,Q9_CC2,Q9_CC3,Q9_CC4,Q10C1,Q10C2,Q10C3,Q10C4,Q10C5,Q10C6,Q10C7,Q10C8,Q10C9,Q10C10,Q10C11,Q10C12,Q10C13,Q10C14,Q11_AC1,Q11_AC2,Q11_AC3,Q11_AC4,Q11_AC5,Q11_AC6,Q11_AC7,Q11_AC8,Q11_AC9,Q11_AC10,Q11_AC11,Q11_AC12,Q11_BC1,Q11_BC2,Q11_BC3,Q11_BC4,Q11_BC5,Q11_BC6,Q11_BC7,Q11_BC8,Q11_BC9,Q11_CC1,Q11_CC2,Q11_CC3,Q11_CC4,Q11_CC5,Q11_CC6,Q13C1,Q13C2,Q13C3,Q13C4,Q13C5,Q13C6,Q13C7,Q13C8,Q13C9,Q13C10,Q13C11,Q13C12,Q13C13,Q13C14
MARO1100174,1,Mid-Atlantic Regional Office (MARO),Dc Public Schools (Dcps),DC,20002,1,118,49869,1,1,1,0,1,1,0,1,1,1,1,0,0,8,1,1,1,1,1,,1,,1,,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,,0,1,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0
MARO1100179,1,Mid-Atlantic Regional Office (MARO),Dc Bilingual Public Charter School,DC,20011,114,1,492,1,1,0,0,0,1,0,0,0,1,0,0,0,8,1,1,1,1,,,,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0
MARO1100181,1,Mid-Atlantic Regional Office (MARO),El Haynes Public Charter School,DC,20011,116,3,1241,1,1,1,0,0,1,0,0,0,0,0,0,1,10,1,1,1,1,1,,,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,,0,0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0
MARO1100182,1,Mid-Atlantic Regional Office (MARO),Eagle Academy Pcs,DC,20003,117,2,526,1,1,1,0,1,1,0,0,0,1,0,0,0,8,1,1,1,1,1,,1,1,1,1,1,,,1,1,,0,0,1,0,1,1,1,0,0,,0,1,1,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
MARO1100183,1,Mid-Atlantic Regional Office (MARO),Early Childhood Academy Pcs,DC,20032,118,1,235,0,1,1,0,0,1,0,0,0,0,1,0,1,8,1,,1,1,1,,,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
MARO1100184,1,Mid-Atlantic Regional Office (MARO),Briya Pcs,DC,20009,119,4,65,1,1,0,0,0,0,0,0,0,0,1,0,0,5,1,1,1,,,,,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,0,0,1,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0
MARO1100185,1,Mid-Atlantic Regional Office (MARO),Friendship Pcs,DC,20001,120,9,4495,1,0,1,0,1,0,0,0,0,1,0,0,0,10,1,1,,,1,,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,,1,0,0,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0
MARO1100186,1,Mid-Atlantic Regional Office (MARO),Hope Community Pcs,DC,20017,121,1,281,0,1,1,0,0,0,0,0,0,0,0,1,0,2,1,,1,,1,,,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,1,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
MARO1100188,1,Mid-Atlantic Regional Office (MARO),Cedar Tree Academy Pcs,DC,20020,123,1,480,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,,1,1,,,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,,,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARO1100189,1,Mid-Atlantic Regional Office (MARO),Howard Univ. Middle School,DC,20059,124,1,188,1,1,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
